Sample	Variant classes	Consequences (most severe)	Consequences (all)	Coding consequences	Variants by chromosome	Position in protein	General statistics
82M-ensemble-annotated	{'deletion': 6, 'insertion': 9, 'SNV': 11}	{'splice_acceptor_variant': 2, 'splice_donor_variant': 5, 'stop_gained': 2, 'frameshift_variant': 5, 'stop_lost': 1, 'inframe_insertion': 5, 'inframe_deletion': 3, 'missense_variant': 1, '5_prime_UTR_variant': 1, 'non_coding_transcript_exon_variant': 1}	{'splice_acceptor_variant': 10, 'splice_donor_variant': 53, 'stop_gained': 15, 'frameshift_variant': 19, 'stop_lost': 2, 'start_lost': 1, 'inframe_insertion': 9, 'inframe_deletion': 4, 'missense_variant': 3, 'splice_region_variant': 3, 'start_retained_variant': 1, 'synonymous_variant': 1, '5_prime_UTR_variant': 6, '3_prime_UTR_variant': 10, 'non_coding_transcript_exon_variant': 22, 'intron_variant': 53, 'NMD_transcript_variant': 37, 'non_coding_transcript_variant': 26, 'upstream_gene_variant': 79, 'downstream_gene_variant': 47}	{'stop_gained': 15, 'frameshift_variant': 19, 'stop_lost': 2, 'start_lost': 1, 'inframe_insertion': 9, 'inframe_deletion': 4, 'missense_variant': 3, 'start_retained_variant': 1, 'synonymous_variant': 1}	{'chr2': 2, 'chr3': 2, 'chr4': 2, 'chr6': 2, 'chr7': 2, 'chr8': 1, 'chr12': 2, 'chr13': 1, 'chr15': 2, 'chr16': 1, 'chr17': 4, 'chr19': 3, 'chr21': 1, 'chr22': 1}	{'00-10%': 5, '10-20%': 2, '20-30%': 3, '30-40%': 5, '40-50%': 5, '50-60%': 14, '60-70%': 6, '70-80%': 3, '80-90%': 5, '90-100%': 5}	{'Lines of input read': 26, 'Variants processed': 26, 'Variants filtered out': 0, 'Overlapped genes': 47, 'Overlapped transcripts': 328}
82T-ensemble-annotated	{'deletion': 5, 'insertion': 7, 'SNV': 14}	{'splice_acceptor_variant': 3, 'splice_donor_variant': 1, 'stop_gained': 4, 'frameshift_variant': 5, 'inframe_insertion': 4, 'inframe_deletion': 2, 'missense_variant': 4, '5_prime_UTR_variant': 1, 'non_coding_transcript_exon_variant': 2}	{'splice_acceptor_variant': 11, 'splice_donor_variant': 5, 'stop_gained': 18, 'frameshift_variant': 20, 'start_lost': 1, 'inframe_insertion': 8, 'inframe_deletion': 3, 'missense_variant': 16, 'splice_region_variant': 17, 'incomplete_terminal_codon_variant': 1, 'start_retained_variant': 1, 'synonymous_variant': 1, 'coding_sequence_variant': 1, '5_prime_UTR_variant': 3, '3_prime_UTR_variant': 7, 'non_coding_transcript_exon_variant': 25, 'intron_variant': 84, 'NMD_transcript_variant': 21, 'non_coding_transcript_variant': 61, 'upstream_gene_variant': 44, 'downstream_gene_variant': 31}	{'stop_gained': 18, 'frameshift_variant': 20, 'start_lost': 1, 'inframe_insertion': 8, 'inframe_deletion': 3, 'missense_variant': 16, 'incomplete_terminal_codon_variant': 1, 'start_retained_variant': 1, 'synonymous_variant': 1, 'coding_sequence_variant': 1}	{'chr2': 2, 'chr3': 1, 'chr4': 2, 'chr6': 1, 'chr7': 2, 'chr11': 1, 'chr12': 4, 'chr13': 3, 'chr14': 1, 'chr15': 1, 'chr16': 1, 'chr17': 3, 'chr19': 2, 'chr20': 1, 'chr21': 1}	{'00-10%': 7, '10-20%': 3, '20-30%': 7, '30-40%': 9, '40-50%': 11, '50-60%': 9, '60-70%': 6, '70-80%': 5, '80-90%': 7, '90-100%': 3}	{'Lines of input read': 26, 'Variants processed': 26, 'Variants filtered out': 0, 'Overlapped genes': 45, 'Overlapped transcripts': 239}
83M-ensemble-annotated	{'insertion': 9, 'deletion': 23, 'SNV': 32}	{'splice_acceptor_variant': 1, 'stop_gained': 9, 'frameshift_variant': 12, 'stop_lost': 3, 'inframe_insertion': 4, 'inframe_deletion': 13, 'missense_variant': 15, 'splice_region_variant': 2, '5_prime_UTR_variant': 1, '3_prime_UTR_variant': 1, 'non_coding_transcript_exon_variant': 2, 'intron_variant': 1}	{'splice_acceptor_variant': 1, 'stop_gained': 31, 'frameshift_variant': 31, 'stop_lost': 5, 'start_lost': 1, 'inframe_insertion': 14, 'inframe_deletion': 41, 'missense_variant': 35, 'splice_region_variant': 61, 'splice_polypyrimidine_tract_variant': 6, 'start_retained_variant': 1, 'stop_retained_variant': 2, 'synonymous_variant': 7, 'coding_sequence_variant': 1, '5_prime_UTR_variant': 7, '3_prime_UTR_variant': 12, 'non_coding_transcript_exon_variant': 140, 'intron_variant': 154, 'NMD_transcript_variant': 34, 'non_coding_transcript_variant': 118, 'upstream_gene_variant': 67, 'downstream_gene_variant': 112}	{'stop_gained': 31, 'frameshift_variant': 31, 'stop_lost': 5, 'start_lost': 1, 'inframe_insertion': 14, 'inframe_deletion': 41, 'missense_variant': 35, 'start_retained_variant': 1, 'stop_retained_variant': 2, 'synonymous_variant': 7, 'coding_sequence_variant': 1}	{'chr1': 4, 'chr2': 2, 'chr3': 1, 'chr5': 1, 'chr6': 9, 'chr7': 13, 'chr9': 3, 'chr10': 1, 'chr11': 3, 'chr12': 4, 'chr13': 2, 'chr14': 5, 'chr15': 3, 'chr17': 6, 'chr19': 4, 'chr20': 1, 'chr21': 1, 'chr22': 1}	{'00-10%': 27, '10-20%': 9, '20-30%': 21, '30-40%': 25, '40-50%': 15, '50-60%': 16, '60-70%': 15, '70-80%': 6, '80-90%': 15, '90-100%': 16}	{'Lines of input read': 64, 'Variants processed': 64, 'Variants filtered out': 0, 'Overlapped genes': 96, 'Overlapped transcripts': 530}
83T-ensemble-annotated	{'insertion': 11, 'deletion': 25, 'SNV': 40}	{'splice_acceptor_variant': 3, 'stop_gained': 13, 'frameshift_variant': 12, 'stop_lost': 2, 'inframe_insertion': 5, 'inframe_deletion': 16, 'missense_variant': 16, '5_prime_UTR_variant': 1, '3_prime_UTR_variant': 2, 'non_coding_transcript_exon_variant': 5, 'intron_variant': 1}	{'splice_acceptor_variant': 5, 'stop_gained': 54, 'frameshift_variant': 47, 'stop_lost': 3, 'start_lost': 1, 'inframe_insertion': 17, 'inframe_deletion': 40, 'missense_variant': 36, 'splice_region_variant': 25, 'splice_donor_region_variant': 2, 'splice_polypyrimidine_tract_variant': 4, 'start_retained_variant': 1, 'stop_retained_variant': 2, 'synonymous_variant': 9, 'coding_sequence_variant': 1, '5_prime_UTR_variant': 2, '3_prime_UTR_variant': 16, 'non_coding_transcript_exon_variant': 132, 'intron_variant': 245, 'NMD_transcript_variant': 40, 'non_coding_transcript_variant': 197, 'upstream_gene_variant': 111, 'downstream_gene_variant': 104}	{'stop_gained': 54, 'frameshift_variant': 47, 'stop_lost': 3, 'start_lost': 1, 'inframe_insertion': 17, 'inframe_deletion': 40, 'missense_variant': 36, 'start_retained_variant': 1, 'stop_retained_variant': 2, 'synonymous_variant': 9, 'coding_sequence_variant': 1}	{'chr1': 3, 'chr2': 4, 'chr3': 1, 'chr4': 1, 'chr5': 3, 'chr6': 9, 'chr7': 12, 'chr8': 2, 'chr9': 2, 'chr10': 1, 'chr11': 4, 'chr12': 6, 'chr13': 3, 'chr14': 5, 'chr15': 5, 'chr17': 7, 'chr19': 3, 'chr21': 1, 'chr22': 3, 'chrX': 1}	{'00-10%': 29, '10-20%': 9, '20-30%': 23, '30-40%': 25, '40-50%': 18, '50-60%': 33, '60-70%': 17, '70-80%': 7, '80-90%': 14, '90-100%': 32}	{'Lines of input read': 76, 'Variants processed': 76, 'Variants filtered out': 0, 'Overlapped genes': 122, 'Overlapped transcripts': 608}
84M-ensemble-annotated	{'deletion': 3, 'insertion': 3, 'SNV': 64}	{'splice_acceptor_variant': 10, 'splice_donor_variant': 15, 'stop_gained': 12, 'frameshift_variant': 4, 'start_lost': 1, 'missense_variant': 25, 'splice_polypyrimidine_tract_variant': 2, '3_prime_UTR_variant': 1}	{'splice_acceptor_variant': 53, 'splice_donor_variant': 90, 'stop_gained': 48, 'frameshift_variant': 10, 'start_lost': 2, 'missense_variant': 137, 'splice_region_variant': 102, 'splice_donor_region_variant': 1, 'splice_polypyrimidine_tract_variant': 9, 'incomplete_terminal_codon_variant': 1, 'synonymous_variant': 1, 'coding_sequence_variant': 2, '5_prime_UTR_variant': 19, '3_prime_UTR_variant': 38, 'non_coding_transcript_exon_variant': 94, 'intron_variant': 100, 'NMD_transcript_variant': 74, 'non_coding_transcript_variant': 76, 'upstream_gene_variant': 141, 'downstream_gene_variant': 138}	{'stop_gained': 48, 'frameshift_variant': 10, 'start_lost': 2, 'missense_variant': 137, 'incomplete_terminal_codon_variant': 1, 'synonymous_variant': 1, 'coding_sequence_variant': 2}	{'chr1': 2, 'chr2': 5, 'chr3': 2, 'chr4': 2, 'chr5': 4, 'chr6': 3, 'chr7': 3, 'chr8': 1, 'chr9': 4, 'chr10': 2, 'chr11': 3, 'chr12': 6, 'chr13': 2, 'chr14': 4, 'chr15': 3, 'chr16': 1, 'chr17': 5, 'chr18': 3, 'chr19': 5, 'chr20': 1, 'chr21': 3, 'chr22': 1, 'chrX': 5}	{'00-10%': 16, '10-20%': 40, '20-30%': 12, '30-40%': 14, '40-50%': 14, '50-60%': 22, '60-70%': 11, '70-80%': 32, '80-90%': 17, '90-100%': 22}	{'Lines of input read': 70, 'Variants processed': 70, 'Variants filtered out': 0, 'Overlapped genes': 109, 'Overlapped transcripts': 862}
84T-ensemble-annotated	{'insertion': 10, 'deletion': 11, 'SNV': 41}	{'splice_acceptor_variant': 6, 'splice_donor_variant': 5, 'stop_gained': 12, 'frameshift_variant': 10, 'start_lost': 1, 'inframe_insertion': 6, 'inframe_deletion': 3, 'missense_variant': 16, 'splice_region_variant': 1, 'non_coding_transcript_exon_variant': 2}	{'splice_acceptor_variant': 13, 'splice_donor_variant': 29, 'stop_gained': 35, 'frameshift_variant': 30, 'start_lost': 2, 'inframe_insertion': 38, 'inframe_deletion': 14, 'missense_variant': 35, 'splice_region_variant': 37, 'splice_donor_region_variant': 3, 'splice_polypyrimidine_tract_variant': 2, 'start_retained_variant': 1, 'synonymous_variant': 1, '5_prime_UTR_variant': 22, '3_prime_UTR_variant': 16, 'non_coding_transcript_exon_variant': 57, 'intron_variant': 102, 'NMD_transcript_variant': 37, 'non_coding_transcript_variant': 74, 'upstream_gene_variant': 55, 'downstream_gene_variant': 93}	{'stop_gained': 35, 'frameshift_variant': 30, 'start_lost': 2, 'inframe_insertion': 38, 'inframe_deletion': 14, 'missense_variant': 35, 'start_retained_variant': 1, 'synonymous_variant': 1}	{'chr1': 1, 'chr3': 2, 'chr4': 2, 'chr5': 1, 'chr6': 15, 'chr7': 13, 'chr9': 3, 'chr10': 1, 'chr11': 1, 'chr12': 2, 'chr13': 2, 'chr14': 4, 'chr15': 1, 'chr16': 4, 'chr17': 4, 'chr19': 2, 'chr21': 1, 'chr22': 1, 'chrX': 2}	{'00-10%': 13, '10-20%': 12, '20-30%': 16, '30-40%': 10, '40-50%': 16, '50-60%': 18, '60-70%': 27, '70-80%': 14, '80-90%': 12, '90-100%': 16}	{'Lines of input read': 62, 'Variants processed': 62, 'Variants filtered out': 0, 'Overlapped genes': 92, 'Overlapped transcripts': 488}
86M-ensemble-annotated	{'insertion': 16, 'SNV': 28, 'deletion': 30}	{'splice_acceptor_variant': 2, 'splice_donor_variant': 1, 'stop_gained': 10, 'frameshift_variant': 15, 'stop_lost': 2, 'start_lost': 1, 'inframe_insertion': 11, 'inframe_deletion': 15, 'missense_variant': 14, '5_prime_UTR_variant': 1, 'non_coding_transcript_exon_variant': 2}	{'splice_acceptor_variant': 2, 'splice_donor_variant': 7, 'stop_gained': 20, 'frameshift_variant': 31, 'stop_lost': 4, 'start_lost': 1, 'inframe_insertion': 27, 'inframe_deletion': 47, 'missense_variant': 32, 'splice_region_variant': 16, 'splice_donor_region_variant': 4, 'splice_polypyrimidine_tract_variant': 4, 'synonymous_variant': 6, '5_prime_UTR_variant': 40, '3_prime_UTR_variant': 13, 'non_coding_transcript_exon_variant': 84, 'intron_variant': 173, 'NMD_transcript_variant': 48, 'non_coding_transcript_variant': 135, 'upstream_gene_variant': 100, 'downstream_gene_variant': 117}	{'stop_gained': 20, 'frameshift_variant': 31, 'stop_lost': 4, 'start_lost': 1, 'inframe_insertion': 27, 'inframe_deletion': 47, 'missense_variant': 32, 'synonymous_variant': 6}	{'chr1': 6, 'chr2': 2, 'chr3': 2, 'chr5': 3, 'chr6': 10, 'chr7': 10, 'chr8': 3, 'chr11': 5, 'chr12': 3, 'chr14': 5, 'chr15': 5, 'chr16': 1, 'chr17': 7, 'chr18': 2, 'chr19': 7, 'chr21': 1, 'chr22': 1, 'chrX': 1}	{'00-10%': 25, '10-20%': 18, '20-30%': 8, '30-40%': 24, '40-50%': 16, '50-60%': 16, '60-70%': 13, '70-80%': 16, '80-90%': 16, '90-100%': 14}	{'Lines of input read': 74, 'Variants processed': 74, 'Variants filtered out': 0, 'Overlapped genes': 117, 'Overlapped transcripts': 588}
86T-ensemble-annotated	{'insertion': 13, 'deletion': 16, 'SNV': 27}	{'splice_acceptor_variant': 3, 'stop_gained': 11, 'frameshift_variant': 10, 'stop_lost': 2, 'inframe_insertion': 10, 'inframe_deletion': 5, 'missense_variant': 10, 'synonymous_variant': 1, '5_prime_UTR_variant': 1, 'non_coding_transcript_exon_variant': 3}	{'splice_acceptor_variant': 3, 'stop_gained': 25, 'frameshift_variant': 21, 'stop_lost': 4, 'inframe_insertion': 23, 'inframe_deletion': 10, 'missense_variant': 28, 'splice_region_variant': 21, 'splice_donor_region_variant': 4, 'splice_polypyrimidine_tract_variant': 4, 'synonymous_variant': 7, '5_prime_UTR_variant': 42, '3_prime_UTR_variant': 6, 'non_coding_transcript_exon_variant': 69, 'intron_variant': 91, 'NMD_transcript_variant': 39, 'non_coding_transcript_variant': 52, 'upstream_gene_variant': 82, 'downstream_gene_variant': 70}	{'stop_gained': 25, 'frameshift_variant': 21, 'stop_lost': 4, 'inframe_insertion': 23, 'inframe_deletion': 10, 'missense_variant': 28, 'synonymous_variant': 7}	{'chr1': 3, 'chr3': 2, 'chr5': 1, 'chr6': 11, 'chr7': 4, 'chr8': 4, 'chr11': 1, 'chr12': 3, 'chr13': 2, 'chr14': 2, 'chr15': 3, 'chr16': 1, 'chr17': 7, 'chr18': 1, 'chr19': 7, 'chr21': 1, 'chr22': 1, 'chrX': 2}	{'00-10%': 17, '10-20%': 10, '20-30%': 8, '30-40%': 22, '40-50%': 14, '50-60%': 12, '60-70%': 5, '70-80%': 11, '80-90%': 6, '90-100%': 13}	{'Lines of input read': 56, 'Variants processed': 56, 'Variants filtered out': 0, 'Overlapped genes': 95, 'Overlapped transcripts': 406}
88M-ensemble-annotated	{'insertion': 10, 'deletion': 22, 'SNV': 35}	{'splice_acceptor_variant': 2, 'splice_donor_variant': 4, 'stop_gained': 13, 'frameshift_variant': 11, 'stop_lost': 1, 'start_lost': 2, 'inframe_insertion': 5, 'inframe_deletion': 12, 'missense_variant': 13, '3_prime_UTR_variant': 2, 'non_coding_transcript_exon_variant': 1, 'intron_variant': 1}	{'splice_acceptor_variant': 4, 'splice_donor_variant': 26, 'stop_gained': 37, 'frameshift_variant': 35, 'stop_lost': 3, 'start_lost': 6, 'inframe_insertion': 18, 'inframe_deletion': 38, 'missense_variant': 34, 'splice_region_variant': 21, 'splice_polypyrimidine_tract_variant': 5, 'start_retained_variant': 1, 'stop_retained_variant': 2, 'synonymous_variant': 14, '5_prime_UTR_variant': 26, '3_prime_UTR_variant': 16, 'non_coding_transcript_exon_variant': 82, 'intron_variant': 98, 'NMD_transcript_variant': 66, 'non_coding_transcript_variant': 68, 'upstream_gene_variant': 130, 'downstream_gene_variant': 169}	{'stop_gained': 37, 'frameshift_variant': 35, 'stop_lost': 3, 'start_lost': 6, 'inframe_insertion': 18, 'inframe_deletion': 38, 'missense_variant': 34, 'start_retained_variant': 1, 'stop_retained_variant': 2, 'synonymous_variant': 14}	{'chr1': 2, 'chr2': 3, 'chr3': 2, 'chr4': 1, 'chr5': 2, 'chr6': 7, 'chr7': 15, 'chr8': 1, 'chr9': 1, 'chr10': 1, 'chr11': 5, 'chr12': 1, 'chr13': 2, 'chr14': 5, 'chr15': 3, 'chr16': 3, 'chr17': 4, 'chr19': 3, 'chr20': 1, 'chr21': 2, 'chr22': 3}	{'00-10%': 39, '10-20%': 14, '20-30%': 22, '30-40%': 23, '40-50%': 14, '50-60%': 18, '60-70%': 11, '70-80%': 12, '80-90%': 10, '90-100%': 20}	{'Lines of input read': 67, 'Variants processed': 67, 'Variants filtered out': 0, 'Overlapped genes': 101, 'Overlapped transcripts': 679}
88T-ensemble-annotated	{'insertion': 10, 'deletion': 15, 'SNV': 72}	{'splice_acceptor_variant': 3, 'splice_donor_variant': 17, 'stop_gained': 20, 'frameshift_variant': 10, 'stop_lost': 2, 'start_lost': 2, 'inframe_insertion': 6, 'inframe_deletion': 7, 'missense_variant': 25, '3_prime_UTR_variant': 3, 'non_coding_transcript_exon_variant': 1, 'intron_variant': 1}	{'splice_acceptor_variant': 22, 'splice_donor_variant': 102, 'stop_gained': 47, 'frameshift_variant': 30, 'stop_lost': 5, 'start_lost': 6, 'inframe_insertion': 18, 'inframe_deletion': 15, 'missense_variant': 72, 'splice_donor_5th_base_variant': 2, 'splice_region_variant': 68, 'splice_polypyrimidine_tract_variant': 5, 'start_retained_variant': 1, 'synonymous_variant': 16, '5_prime_UTR_variant': 24, '3_prime_UTR_variant': 27, 'non_coding_transcript_exon_variant': 83, 'intron_variant': 273, 'NMD_transcript_variant': 113, 'non_coding_transcript_variant': 189, 'upstream_gene_variant': 137, 'downstream_gene_variant': 245}	{'stop_gained': 47, 'frameshift_variant': 30, 'stop_lost': 5, 'start_lost': 6, 'inframe_insertion': 18, 'inframe_deletion': 15, 'missense_variant': 72, 'start_retained_variant': 1, 'synonymous_variant': 16}	{'chr1': 9, 'chr2': 6, 'chr3': 6, 'chr4': 2, 'chr5': 5, 'chr6': 6, 'chr7': 13, 'chr8': 2, 'chr9': 3, 'chr10': 3, 'chr11': 2, 'chr12': 4, 'chr13': 1, 'chr14': 4, 'chr15': 5, 'chr16': 3, 'chr17': 5, 'chr18': 1, 'chr19': 9, 'chr20': 1, 'chr22': 3, 'chrX': 4}	{'00-10%': 38, '10-20%': 12, '20-30%': 15, '30-40%': 22, '40-50%': 23, '50-60%': 24, '60-70%': 15, '70-80%': 12, '80-90%': 15, '90-100%': 31}	{'Lines of input read': 97, 'Variants processed': 97, 'Variants filtered out': 0, 'Overlapped genes': 153, 'Overlapped transcripts': 1074}
9M-ensemble-annotated	{'insertion': 2, 'deletion': 10, 'SNV': 30}	{'splice_acceptor_variant': 2, 'splice_donor_variant': 6, 'stop_gained': 11, 'frameshift_variant': 9, 'stop_lost': 5, 'inframe_deletion': 2, 'missense_variant': 5, '3_prime_UTR_variant': 1, 'non_coding_transcript_exon_variant': 1}	{'splice_acceptor_variant': 9, 'splice_donor_variant': 15, 'stop_gained': 38, 'frameshift_variant': 26, 'stop_lost': 5, 'inframe_deletion': 4, 'missense_variant': 22, 'splice_region_variant': 38, 'splice_polypyrimidine_tract_variant': 3, 'synonymous_variant': 6, '5_prime_UTR_variant': 6, '3_prime_UTR_variant': 28, 'non_coding_transcript_exon_variant': 42, 'intron_variant': 148, 'NMD_transcript_variant': 112, 'non_coding_transcript_variant': 22, 'upstream_gene_variant': 33, 'downstream_gene_variant': 39}	{'stop_gained': 38, 'frameshift_variant': 26, 'stop_lost': 5, 'inframe_deletion': 4, 'missense_variant': 22, 'synonymous_variant': 6}	{'chr1': 3, 'chr2': 2, 'chr3': 5, 'chr5': 1, 'chr6': 4, 'chr7': 6, 'chr10': 1, 'chr11': 1, 'chr12': 2, 'chr14': 1, 'chr17': 4, 'chr19': 8, 'chrX': 4}	{'00-10%': 9, '10-20%': 15, '20-30%': 8, '30-40%': 21, '40-50%': 4, '50-60%': 9, '60-70%': 0, '70-80%': 9, '80-90%': 4, '90-100%': 22}	{'Lines of input read': 42, 'Variants processed': 42, 'Variants filtered out': 0, 'Overlapped genes': 67, 'Overlapped transcripts': 421}
9T-ensemble-annotated	{'insertion': 2, 'deletion': 7, 'SNV': 12}	{'splice_donor_variant': 3, 'stop_gained': 6, 'frameshift_variant': 6, 'inframe_insertion': 1, 'inframe_deletion': 2, 'missense_variant': 3}	{'splice_donor_variant': 17, 'stop_gained': 28, 'frameshift_variant': 27, 'inframe_insertion': 4, 'inframe_deletion': 9, 'missense_variant': 22, 'splice_region_variant': 39, 'splice_polypyrimidine_tract_variant': 1, '5_prime_UTR_variant': 4, '3_prime_UTR_variant': 6, 'non_coding_transcript_exon_variant': 16, 'intron_variant': 29, 'NMD_transcript_variant': 14, 'non_coding_transcript_variant': 9, 'upstream_gene_variant': 17, 'downstream_gene_variant': 16}	{'stop_gained': 28, 'frameshift_variant': 27, 'inframe_insertion': 4, 'inframe_deletion': 9, 'missense_variant': 22}	{'chr1': 2, 'chr3': 1, 'chr5': 5, 'chr6': 1, 'chr7': 1, 'chr9': 1, 'chr10': 1, 'chr11': 2, 'chr12': 2, 'chr17': 2, 'chr18': 3}	{'00-10%': 14, '10-20%': 6, '20-30%': 11, '30-40%': 4, '40-50%': 16, '50-60%': 11, '60-70%': 5, '70-80%': 7, '80-90%': 1, '90-100%': 7}	{'Lines of input read': 21, 'Variants processed': 21, 'Variants filtered out': 0, 'Overlapped genes': 31, 'Overlapped transcripts': 171}
